id,title,optionA,optionB,optionC,optionD,answer,analysis,exam_type,knowledge_point,difficulty,tags,language,section,topic_order
"1","The historian's account is praised for being ____ because every claim is checked against several independent sources. (Set 1)","meticulous","pragmatic","tentative","skeptical","A","正确答案是 A。Text Completion · 语境填空：context clues and logical completion。根据题干条件逐项检验可得 meticulous。","GRE原创专项练习","Text Completion · 语境填空","难","context clues and logical completion","en","Verbal Reasoning","1"
"2","The biologist's account is praised for being ____ because the proposal emphasizes workable results rather than abstract doctrine. (Set 2)","candid","innovative","concise","pragmatic","D","正确答案是 D。Text Completion · 语境填空：context clues and logical completion。根据题干条件逐项检验可得 pragmatic。","GRE原创专项练习","Text Completion · 语境填空","中","context clues and logical completion","en","Verbal Reasoning","1"
"3","The critic's account is praised for being ____ because the report openly acknowledges both successes and failures. (Set 3)","lucid","impartial","candid","tentative","C","正确答案是 C。Text Completion · 语境填空：context clues and logical completion。根据题干条件逐项检验可得 candid。","GRE原创专项练习","Text Completion · 语境填空","易","context clues and logical completion","en","Verbal Reasoning","1"
"4","The economist's account is praised for being ____ because the conclusion may change when additional evidence becomes available. (Set 4)","resilient","tentative","innovative","skeptical","B","正确答案是 B。Text Completion · 语境填空：context clues and logical completion。根据题干条件逐项检验可得 tentative。","GRE原创专项练习","Text Completion · 语境填空","难","context clues and logical completion","en","Verbal Reasoning","1"
"5","The curator's account is praised for being ____ because the design introduces a method that has not previously been attempted. (Set 5)","innovative","lucid","concise","meticulous","A","正确答案是 A。Text Completion · 语境填空：context clues and logical completion。根据题干条件逐项检验可得 innovative。","GRE原创专项练习","Text Completion · 语境填空","中","context clues and logical completion","en","Verbal Reasoning","1"
"6","The linguist's account is praised for being ____ because even readers outside the field can follow the explanation easily. (Set 6)","skeptical","impartial","pragmatic","lucid","D","正确答案是 D。Text Completion · 语境填空：context clues and logical completion。根据题干条件逐项检验可得 lucid。","GRE原创专项练习","Text Completion · 语境填空","易","context clues and logical completion","en","Verbal Reasoning","1"
"7","The researcher's account is praised for being ____ because the claim is withheld until stronger evidence can be supplied. (Set 7)","resilient","candid","skeptical","concise","C","正确答案是 C。Text Completion · 语境填空：context clues and logical completion。根据题干条件逐项检验可得 skeptical。","GRE原创专项练习","Text Completion · 语境填空","难","context clues and logical completion","en","Verbal Reasoning","1"
"8","The architect's account is praised for being ____ because the entire argument is expressed clearly in only three sentences. (Set 8)","tentative","concise","impartial","meticulous","B","正确答案是 B。Text Completion · 语境填空：context clues and logical completion。根据题干条件逐项检验可得 concise。","GRE原创专项练习","Text Completion · 语境填空","中","context clues and logical completion","en","Verbal Reasoning","1"
"9","The editor's account is praised for being ____ because competing positions are evaluated by the same standards. (Set 9)","impartial","resilient","pragmatic","innovative","A","正确答案是 A。Text Completion · 语境填空：context clues and logical completion。根据题干条件逐项检验可得 impartial。","GRE原创专项练习","Text Completion · 语境填空","易","context clues and logical completion","en","Verbal Reasoning","1"
"10","The philosopher's account is praised for being ____ because the system quickly recovers after repeated disruptions. (Set 10)","meticulous","candid","lucid","resilient","D","正确答案是 D。Text Completion · 语境填空：context clues and logical completion。根据题干条件逐项检验可得 resilient。","GRE原创专项练习","Text Completion · 语境填空","难","context clues and logical completion","en","Verbal Reasoning","1"
