id,title,content,type,category,tags,difficulty,image,source
1,林黛玉人物性格深度解析,林黛玉敏感细腻、才情冠绝大观园，多愁善感、孤傲清高，是封建礼教下悲剧女性典型。,article,红楼梦,人物,中,,文史整理
2,贾宝玉叛逆精神内核解读,贾宝玉厌恶科举仕途、鄙视功名利禄，追求性情本真与男女平等意识。,article,红楼梦,人物,中,,文史整理
3,金陵十二钗整体命运梳理,十二钗各有宿命，荣华转瞬即逝，映射清代贵族女性集体悲剧命运。,article,红楼梦,情节,难,,文史整理
4,红楼梦四大家族兴衰脉络,贾史王薛四大家族联姻盘根错节，由盛转衰折射封建世家末路。,article,红楼梦,家族,中,,文史整理
5,薛宝钗性格处世智慧分析,薛宝钗温婉得体、圆滑世故，恪守封建礼教，是传统完美女性范本。,article,红楼梦,人物,中,,文史整理
6,三国赤壁之战全过程解析,赤壁之战孙刘联手火攻曹军，奠定三国鼎立格局，正史与演义有明显区别。,article,三国演义,战役,中,,文史整理
7,诸葛亮谋略思想深度分析,诸葛亮擅长治军、外交、隆中对战略布局，是古代谋士代表人物。,article,三国演义,谋略,难,,文史整理
8,曹操政治军事能力全面解读,曹操唯才是举、统一北方，文学与军政兼备，历史形象被民间演义黑化。,article,三国演义,人物,中,,文史整理
9,刘备用人之道与性格短板,刘备仁德聚人、擅长笼络人心，但军事决断偏弱、感情用事误大事。,article,三国演义,人物,中,,文史整理
10,水浒传梁山好汉招安始末,梁山从聚义反抗到接受招安、征战四方，最终结局悲凉，反映农民起义局限性。,article,水浒传,故事,中,,文史整理
11,宋江人物矛盾性深度剖析,宋江忠义两全又迂腐保守，一心招安葬送梁山基业，性格极其复杂。,article,水浒传,人物,难,,文史整理
12,西游记取经路线与寓意解读,取经一路八十一难，象征修行历练，佛道文化融合明显。,article,西游记,文化,中,,文史整理
13,孙悟空从顽猴到成佛的心路,孙悟空桀骜不驯、反抗权威，历经磨难后修成正果，是成长型人物典范。,article,西游记,人物,中,,文史整理
14,甄嬛传剧情与真实历史对比,甄嬛原型为雍正孝圣宪皇后，真实历史无激烈宫斗，剧集大量艺术虚构。,article,剧说古今,甄嬛传,中,,影视文史
15,琅琊榜历史背景原型考证,琅琊榜架空南梁时代，借鉴南北朝门阀政治、朝堂党争格局。,article,剧说古今,琅琊榜,中,,影视文史
16,大明王朝1566嘉靖朝史实还原,剧集高度还原嘉靖朝党争、海瑞直谏、财政亏空、倭寇边患真实历史。,article,剧说古今,大明王朝,难,,影视文史
17,延禧攻略人物历史真相,魏璎珞原型令妃，真实性格温婉，并非剧中泼辣敢闯的人设。,article,剧说古今,延禧攻略,易,,影视文史
18,长安十二时辰历史细节考据,还原盛唐长安坊市、宵禁、官制、市井生活，历史还原度极高。,article,剧说古今,长安十二时辰,中,,影视文史
19,李白为何一生酷爱饮酒?,盛唐文人饮酒成风，李白以酒入诗、借酒抒怀，酒是其创作重要灵感来源。,article,八卦来了,名人轶事,易,,文史冷知识
20,苏轼被称为千古美食家的由来,苏轼被贬各地研发东坡肉、东坡羹、荔枝食谱，热爱生活且精通饮食。,article,八卦来了,名人轶事,易,,文史冷知识
21,古代没有厕纸古人如何如厕?,先秦用草木秸秆、魏晋用厕筹、唐宋粗纸出现、明清纸张逐渐普及。,article,八卦来了,生活冷知识,中,,文史冷知识
22,乾隆身世到底有哪些争议?,民间流传汉人抱养说法，正史明确为雍正亲生，属于民间野史传闻。,article,八卦来了,历史谜团,中,,文史冷知识
23,古人多久洗一次澡?,先秦三日一沐五日一浴，唐宋贵族爱洁净，普通百姓因条件限制洗澡偏少。,article,八卦来了,生活冷知识,易,,文史冷知识
24,秦始皇是暴君还是千古明君?,统一六国、书同文车同轨、奠定大一统；但严刑峻法、徭役繁重，历史评价两极。,article,典籍探疑,历史评价,难,,典籍解读
